amfi_code,alpha,beta,r_squared,scheme_name,sub_category,fund_house
100016,3.7476,-0.0583,0.0027,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,HDFC Mutual Fund
100025,4.2818,0.0012,0.0,HDFC Short Term Debt Fund - Regular - Growth,Short Duration,HDFC Mutual Fund
100033,27.1954,0.0051,0.0,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,HDFC Mutual Fund
101206,21.3998,0.0211,0.0003,ABSL Frontline Equity Fund - Regular - Growth,Large Cap,Aditya Birla Sun Life MF
101207,10.8971,-0.0653,0.0011,ABSL Small Cap Fund - Regular - Growth,Small Cap,Aditya Birla Sun Life MF
101208,6.0861,0.0003,0.0,ABSL Liquid Fund - Regular - Growth,Liquid,Aditya Birla Sun Life MF
102885,17.0488,-0.0195,0.0004,UTI Nifty 50 Index Fund - Regular - Growth,Index,UTI Mutual Fund
102886,2.8969,-0.0421,0.0009,UTI Mid Cap Fund - Regular - Growth,Mid Cap,UTI Mutual Fund
102887,16.2113,0.0167,0.0002,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,UTI Mutual Fund
118632,21.8294,-0.0084,0.0001,Nippon India Large Cap Fund - Regular - Growth,Large Cap,Nippon India MF
118633,15.6438,-0.0366,0.0011,Nippon India Large Cap Fund - Direct - Growth,Large Cap,Nippon India MF
118634,17.5007,0.1035,0.0028,Nippon India Small Cap Fund - Regular - Growth,Small Cap,Nippon India MF
118635,15.1364,-0.0014,0.0,Nippon India ETF Nifty 50 BeES,Index/ETF,Nippon India MF
118636,5.0748,0.0013,0.0,Nippon India Gilt Securities Fund - Regular - Growth,Gilt,Nippon India MF
119092,6.8995,0.0097,0.0001,Axis Bluechip Fund - Regular - Growth,Large Cap,Axis Mutual Fund
119093,8.2328,0.0259,0.0006,Axis Bluechip Fund - Direct - Growth,Large Cap,Axis Mutual Fund
119094,26.0767,-0.0663,0.0019,Axis Midcap Fund - Regular - Growth,Mid Cap,Axis Mutual Fund
119095,4.8016,-0.067,0.0012,Axis Small Cap Fund - Regular - Growth,Small Cap,Axis Mutual Fund
119120,5.6209,-0.0064,0.0004,SBI Magnum Gilt Fund - Regular Plan - Growth,Gilt,SBI Mutual Fund
119551,23.201,-0.0318,0.0009,SBI Bluechip Fund - Regular Plan - Growth,Large Cap,SBI Mutual Fund
119552,19.8686,-0.0262,0.0006,SBI Bluechip Fund - Direct Plan - Growth,Large Cap,SBI Mutual Fund
119598,30.337,-0.0232,0.0001,SBI Small Cap Fund - Regular Plan - Growth,Small Cap,SBI Mutual Fund
119599,4.8824,0.062,0.001,SBI Small Cap Fund - Direct Plan - Growth,Small Cap,SBI Mutual Fund
120503,17.7033,-0.0403,0.0014,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap,ICICI Prudential MF
120504,21.1948,0.0162,0.0002,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,ICICI Prudential MF
120505,29.2636,0.0005,0.0,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,ICICI Prudential MF
120506,16.2539,0.0419,0.0013,ICICI Pru Value Discovery Fund - Regular - Growth,Value,ICICI Prudential MF
120507,6.7462,-0.0004,0.0001,ICICI Pru Liquid Fund - Regular - Growth,Liquid,ICICI Prudential MF
120841,13.0429,0.0364,0.0012,Kotak Bluechip Fund - Regular - Growth,Large Cap,Kotak Mahindra MF
120842,7.8044,0.0181,0.0002,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,Kotak Mahindra MF
120843,27.3305,-0.0228,0.0003,Kotak Flexicap Fund - Regular - Growth,Flexi Cap,Kotak Mahindra MF
120844,6.4557,-0.0004,0.0001,Kotak Liquid Fund - Regular - Growth,Liquid,Kotak Mahindra MF
125497,17.7298,0.0488,0.0018,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap,HDFC Mutual Fund
125498,11.9891,0.0091,0.0,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap,HDFC Mutual Fund
148567,26.9838,0.0237,0.0005,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,Mirae Asset MF
148568,20.873,-0.0264,0.0005,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap,Mirae Asset MF
148569,28.2704,0.0181,0.0002,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS,Mirae Asset MF
149322,13.1732,-0.0041,0.0,DSP Top 100 Equity Fund - Regular - Growth,Large Cap,DSP Mutual Fund
149323,26.5986,-0.0025,0.0,DSP Midcap Fund - Regular - Growth,Mid Cap,DSP Mutual Fund
149324,30.0579,0.0115,0.0,DSP Small Cap Fund - Regular - Growth,Small Cap,DSP Mutual Fund
